id,"Clip Name",Category,Needs,Feelings,Label
7,0009.mp4,"reaction,","connection,honesty,autonomy,","sad,vulnerable,pain,",
8,0010.mp4,"reaction,dialog,","peace,meaning,autonomy,","peaceful,",
13,0017.mp4,"dialog,reaction,","connection,honesty,autonomy,","tense,",
14,0018.mp4,"dialog,","connection,honesty,meaning,autonomy,","annoyed,","question,"
19,0023.mp4,"action,","physicalWellbeing,autonomy,",,"movement,"
20,0024.mp4,"dialog,","physicalWellbeing,autonomy,peace,","confident,inspired,tense,","movement,"
22,0026.mp4,"action,","autonomy,",,"movement,"
25,0029.mp4,"reaction,dialog,","peace,autonomy,","confident,excited,exhilarated,","movement,"
33,0037.mp4,"reaction,dialog,","autonomy,","aversion,angry,disquiet,",
34,0038.mp4,"action,","play,autonomy,physicalWellbeing,",,"movement,"
35,0039.mp4,"reaction,","play,autonomy,meaning,","aversion,",
67,0071.mp4,"dialog,reaction,","autonomy,honesty,",,"reject,"
79,0106.mp4,"dialog,","autonomy,peace,","confident,vulnerable,",
82,0109.mp4,"dialog,reaction,","connection,meaning,autonomy,",,"accept,"
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
104,0215.mp4,"dialog,reaction,","autonomy,play,","joyful,",
105,0216.mp4,"dialog,","connection,autonomy,",,"identity,"
106,0217.mp4,"dialog,","connection,autonomy,","annoyed,","identity,"
108,0219.mp4,"dialog,","meaning,honesty,autonomy,","angry,confident,",
109,0220.mp4,"dialog,","connection,autonomy,",,"identity,"
110,0221.mp4,"dialog,","autonomy,meaning,","aversion,",
111,0222.mp4,"dialog,","autonomy,meaning,","confident,aversion,","fact,"
115,0226.mp4,"dialog,","autonomy,meaning,honesty,","confused,",
121,0232.mp4,"dialog,reaction,","autonomy,","disquiet,","reject,"
125,0237.mp4,"dialog,","honesty,autonomy,","confident,disquiet,","fact,"
133,0246.mp4,"dialog,","honesty,autonomy,",,"reject,"
134,0247.mp4,"dialog,","autonomy,","confident,","identity,reject,"
137,0250.mp4,"dialog,action,","connection,autonomy,",,"provoke,movement,anger,"
138,0251.mp4,"dialog,","autonomy,","confident,",
143,0256.mp4,"dialog,","autonomy,","disquiet,tense,",
184,0297.mp4,"dialog,action,reaction,","connection,meaning,autonomy,play,","confident,vulnerable,","provoke,"
185,0298.mp4,"action,","connection,meaning,autonomy,play,peace,physicalWellbeing,",,"WAITING,"
191,0305.mp4,"dialog,","play,autonomy,",,
238,0353.mp4,"dialog,reaction,","autonomy,meaning,",,
239,0356.mp4,,"autonomy,connection,",,"WAITING,movement,"
240,0357.mp4,"dialog,","autonomy,connection,honesty,",,
256,0375.mp4,,"connection,autonomy,meaning,",,"WAITING,"
257,0376.mp4,,"autonomy,connection,meaning,",,"WAITING,"
259,0380.mp4,"reaction,action,","honesty,connection,meaning,peace,autonomy,physicalWellbeing,",,"WAITING,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
263,0384.mp4,,"connection,meaning,autonomy,honesty,peace,",,"WAITING,"
