id,"Clip Name",Category,Needs,Feelings,Label
2,0004.mp4,"action,","connection,",,"WAITING,"
7,0009.mp4,"reaction,","connection,honesty,autonomy,","sad,vulnerable,pain,",
11,0014.mp4,"action,","connection,peace,",,"WAITING,"
12,0016.mp4,"reaction,dialog,","connection,","aversion,annoyed,",
13,0017.mp4,"dialog,reaction,","connection,honesty,autonomy,","tense,",
14,0018.mp4,"dialog,","connection,honesty,meaning,autonomy,","annoyed,","question,"
16,0020.mp4,"dialog,","connection,meaning,",,
17,0021.mp4,"dialog,","connection,","affectionate,joyful,","question,"
27,0031.mp4,"reaction,","play,connection,","confident,inspired,",
28,0032.mp4,"reaction,","connection,","confident,exhilarated,",
30,0034.mp4,"reaction,","meaning,connection,play,","confused,angry,",
31,0035.mp4,"reaction,","meaning,connection,play,","confused,angry,",
32,0036.mp4,"action,","connection,",,"greeting,"
37,0041.mp4,"reaction,action,","connection,play,","confident,joyful,","movement,"
38,0042.mp4,"reaction,","meaning,connection,","confused,annoyed,",
42,0046.mp4,"action,","connection,",,"WAITING,"
43,0047.mp4,"action,","connection,meaning,",,"WAITING,"
48,0052.mp4,"reaction,","meaning,connection,","aversion,embarassed,",
49,0053.mp4,"reaction,","connection,","inspired,disconnected,",
52,0056.mp4,"dialog,","connection,meaning,","vulnerable,",
54,0058.mp4,"reaction,action,","connection,","joyful,exhilarated,","hug,movement,"
55,0059.mp4,"reaction,","connection,","joyful,exhilarated,","hug,movement,"
56,0060.mp4,"dialog,","connection,meaning,","affectionate,","greeting,"
59,0063.mp4,"dialog,","connection,",,"greeting,"
60,0064.mp4,"dialog,","connection,honesty,meaning,","disconnected,angry,disquiet,confused,","question,"
62,0066.mp4,"dialog,","connection,","annoyed,","question,greeting,"
64,0068.mp4,"reaction,","connection,play,","confident,joyful,","WAITING,"
71,0075.mp4,"action,dialog,","physicalWellbeing,connection,","aversion,fatigue,disconnected,","run,defeat,"
78,0105.mp4,"reaction,","meaning,connection,",,"accept,"
82,0109.mp4,"dialog,reaction,","connection,meaning,autonomy,",,"accept,"
83,0110.mp4,"dialog,","connection,play,","affectionate,confident,",
84,0111.mp4,"dialog,","connection,","hopeful,","accept,"
86,0113.mp4,"dialog,","connection,","grateful,",
89,0200.mp4,"action,","connection,meaning,honesty,play,physicalWellbeing,peace,autonomy,",,"movement,WAITING,"
90,0201.mp4,"dialog,","meaning,connection,",,"greeting,question,"
91,0202.mp4,"dialog,","connection,",,"greeting,identity,"
92,0203.mp4,"dialog,","connection,meaning,","confident,hopeful,",
97,0208.mp4,"dialog,","honesty,meaning,connection,","confident,","fact,"
98,0209.mp4,"dialog,","honesty,connection,","angry,annoyed,confused,",
99,0210.mp4,"dialog,reaction,","connection,","disquiet,","reject,"
101,0212.mp4,"action,dialog,","connection,",,"WAITING,"
102,0213.mp4,"dialog,action,","connection,",,"WAITING,"
105,0216.mp4,"dialog,","connection,autonomy,",,"identity,"
106,0217.mp4,"dialog,","connection,autonomy,","annoyed,","identity,"
107,0218.mp4,"dialog,","honesty,connection,meaning,","embarassed,","question,"
109,0220.mp4,"dialog,","connection,autonomy,",,"identity,"
112,0223.mp4,"dialog,","connection,",,"greeting,question,"
113,0224.mp4,"dialog,","meaning,connection,","confused,","question,"
118,0229.mp4,"dialog,","connection,honesty,","engaged,","question,"
126,0238.mp4,"dialog,reaction,","connection,","angry,",
128,0241.mp4,"action,","physicalWellbeing,connection,","angry,","movement,"
129,0242.mp4,"dialog,","connection,",,"identity,greeting,"
130,0243.mp4,"dialog,","connection,meaning,","hopeful,confident,inspired,",
131,0244.mp4,"dialog,","connection,meaning,","hopeful,engaged,","accept,question,"
132,0245.mp4,"dialog,reaction,","connection,","sad,","reject,"
137,0250.mp4,"dialog,action,","connection,autonomy,",,"provoke,movement,anger,"
140,0253.mp4,"dialog,","connection,","angry,","farewell,provoke,"
184,0297.mp4,"dialog,action,reaction,","connection,meaning,autonomy,play,","confident,vulnerable,","provoke,"
185,0298.mp4,"action,","connection,meaning,autonomy,play,peace,physicalWellbeing,",,"WAITING,"
233,0348.mp4,"dialog,action,","connection,",,"question,"
237,0352.mp4,"dialog,","peace,connection,",,
239,0356.mp4,,"autonomy,connection,",,"WAITING,movement,"
240,0357.mp4,"dialog,","autonomy,connection,honesty,",,
241,0358.mp4,"dialog,","meaning,connection,","confused,engaged,","question,"
243,0360.mp4,"dialog,","connection,","engaged,","question,identity,"
244,0361.mp4,"dialog,action,","connection,meaning,honesty,",,"question,"
245,0362.mp4,"dialog,","connection,meaning,",,"question,"
246,0364.mp4,"dialog,reaction,","connection,meaning,","grateful,",
249,0367.mp4,"dialog,","meaning,connection,",,"question,"
250,0368.mp4,"dialog,","connection,meaning,","confused,","question,"
251,0369.mp4,"dialog,","meaning,honesty,connection,",,"question,"
252,0370.mp4,"dialog,","meaning,connection,honesty,",,
256,0375.mp4,,"connection,autonomy,meaning,",,"WAITING,"
257,0376.mp4,,"autonomy,connection,meaning,",,"WAITING,"
258,0377.mp4,"dialog,","connection,",,"greeting,"
259,0380.mp4,"reaction,action,","honesty,connection,meaning,peace,autonomy,physicalWellbeing,",,"WAITING,"
260,0381.mp4,,"honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,"
261,0382.mp4,"dialog,","honesty,connection,play,meaning,physicalWellbeing,peace,autonomy,",,"greeting,WAITING,"
262,0383.mp4,"dialog,","connection,meaning,autonomy,honesty,play,physicalWellbeing,peace,",,"greeting,WAITING,"
263,0384.mp4,,"connection,meaning,autonomy,honesty,peace,",,"WAITING,"
272,0393.mp4,"dialog,","connection,meaning,play,",,
273,0394.mp4,"dialog,","connection,honesty,","engaged,grateful,affectionate,",
274,0395.mp4,"reaction,","connection,peace,","inspired,affectionate,refreshed,",
275,0396.mp4,"dialog,reaction,","play,connection,",,"question,WAITING,"
276,0397.mp4,"dialog,action,","connection,",,"greeting,"
278,0399.mp4,"dialog,","play,connection,","disconnected,",
